Wall time,Step,Value
1550232078.5126097,0,37.21875
1550232184.7832525,11,34.6875
1550232305.5052574,25,28.59375
1550232424.9914203,38,33.1875
1550232545.7302306,51,25.6875
1550232665.7821949,64,24.375
1550232785.5571454,77,25.21875
1550232905.3664339,90,24.5625
1550233024.7896922,103,31.125
1550233145.015207,116,30.375
1550233265.1582904,129,30.09375
1550233384.7590418,142,29.34375
1550233505.2827394,156,33.09375
1550233624.9981225,169,28.03125
1550233745.054677,182,33.5625
1550233865.680597,195,32.8125
1550233985.6001945,208,25.6875
1550234105.226958,220,28.78125
1550234225.676325,233,34.3125
1550234345.2668278,245,40.78125
1550234465.072131,257,28.21875
1550234584.7835817,270,27.65625
1550234705.032738,283,32.25
1550234825.4517207,297,27.1875
1550234945.2395768,310,30.0
1550235065.9345481,323,29.71875
1550235184.9454541,336,30.375
1550235304.9299278,349,33.46875
1550235424.8177032,362,38.90625
1550235544.7682552,375,31.5
1550235665.308334,388,28.125
1550235785.3199744,401,27.65625
1550235904.8391998,414,32.34375
1550236024.8185267,427,27.75
1550236144.8363502,440,30.5625
1550236265.8866177,453,31.78125
1550236385.5180755,465,39.375
