Wall time,Step,Value
1550232078.5126097,0,12.40625
1550232184.7832525,11,11.5625
1550232305.5052574,25,9.53125
1550232424.9914203,38,11.0625
1550232545.7302306,51,8.5625
1550232665.7821949,64,8.125
1550232785.5571454,77,8.40625
1550232905.3664339,90,8.1875
1550233024.7896922,103,10.375
1550233145.015207,116,10.125
1550233265.1582904,129,10.03125
1550233384.7590418,142,9.78125
1550233505.2827394,156,11.03125
1550233624.9981225,169,9.34375
1550233745.054677,182,11.1875
1550233865.680597,195,10.9375
1550233985.6001945,208,8.5625
1550234105.226958,220,9.59375
1550234225.676325,233,11.4375
1550234345.2668278,245,13.59375
1550234465.072131,257,9.40625
1550234584.7835817,270,9.21875
1550234705.032738,283,10.75
1550234825.4517207,297,9.0625
1550234945.2395768,310,10.0
1550235065.9345481,323,9.90625
1550235184.9454541,336,10.125
1550235304.9299278,349,11.15625
1550235424.8177032,362,12.96875
1550235544.7682552,375,10.5
1550235665.308334,388,9.375
1550235785.3199744,401,9.21875
1550235904.8391998,414,10.78125
1550236024.8185267,427,9.25
1550236144.8363502,440,10.1875
1550236265.8866177,453,10.59375
1550236385.5180755,465,13.125
