Wall time,Step,Value
1550232078.5126097,0,13.804524421691895
1550232184.7832525,11,6.171700954437256
1550232305.5052574,25,5.0459465980529785
1550232424.9914203,38,4.749358177185059
1550232545.7302306,51,3.8695929050445557
1550232665.7821949,64,3.678628921508789
1550232785.5571454,77,3.7972137928009033
1550232905.3664339,90,3.165919065475464
1550233024.7896922,103,3.379333734512329
1550233145.015207,116,3.300473213195801
1550233265.1582904,129,3.239976406097412
1550233384.7590418,142,2.887070655822754
1550233505.2827394,156,2.838688850402832
1550233624.9981225,169,3.5620462894439697
1550233745.054677,182,2.789699077606201
1550233865.680597,195,2.5766844749450684
1550233985.6001945,208,3.221388339996338
1550234105.226958,220,3.28865909576416
1550234225.676325,233,2.4076883792877197
1550234345.2668278,245,2.8769962787628174
1550234465.072131,257,1.84372079372406
1550234584.7835817,270,2.6780354976654053
1550234705.032738,283,2.359949827194214
1550234825.4517207,297,2.1695094108581543
1550234945.2395768,310,2.0465009212493896
1550235065.9345481,323,2.265700101852417
1550235184.9454541,336,2.1345345973968506
1550235304.9299278,349,2.2370169162750244
1550235424.8177032,362,1.88052237033844
1550235544.7682552,375,2.0646770000457764
1550235665.308334,388,2.0349597930908203
1550235785.3199744,401,2.853684186935425
1550235904.8391998,414,2.0440964698791504
1550236024.8185267,427,2.428980588912964
1550236144.8363502,440,2.6134190559387207
1550236265.8866177,453,2.172154664993286
